journal_name,issn_print,issn_online,first_seen,last_seen,esac_id
ACM Transactions on Computer Systems,0734-2071,1557-7333,2024-03-08,NA,acm2020tue
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,2024-03-08,NA,acm2020tue
ACM Transactions on Computing Education,NA,1946-6226,2024-03-08,NA,acm2020tue
ACM Transactions on Database Systems,0362-5915,1557-4644,2024-03-08,NA,acm2020tue
ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309,2024-03-08,NA,acm2020tue
ACM Transactions on Economics and Computation,2167-8375,2167-8383,2024-03-08,NA,acm2020tue
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,2024-03-08,NA,acm2020tue
ACM Transactions on Graphics,0730-0301,1557-7368,2024-03-08,NA,acm2020tue
ACM Transactions on Information Systems,1046-8188,1558-2868,2024-03-08,NA,acm2020tue
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,2024-03-08,NA,acm2020tue
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,2024-03-08,NA,acm2020tue
ACM Transactions on Internet Technology,1533-5399,1557-6051,2024-03-08,NA,acm2020tue
ACM Transactions on Knowledge Discovery in Data,1556-4681,1556-472X,2024-03-08,NA,acm2020tue
ACM Transactions on Management Information Systems,2158-656X,2158-6578,2024-03-08,NA,acm2020tue
ACM Transactions on Mathematical Software,0098-3500,1557-7295,2024-03-08,NA,acm2020tue
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,2024-03-08,NA,acm2020tue
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,2024-03-08,NA,acm2020tue
"ACM Transactions on Multimedia Computing, Communications and Applications",1551-6857,1551-6865,2024-03-08,NA,acm2020tue
ACM Transactions on Parallel Computing,2329-4949,2329-4957,2024-03-08,NA,acm2020tue
ACM Transactions on Programming Languages & Systems,0164-0925,1558-4593,2024-03-08,NA,acm2020tue
ACM Transactions on Quantum Computing,2643-6809,2643-6817,2024-03-08,NA,acm2020tue
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,2024-03-08,NA,acm2020tue
ACM Transactions on Sensor Networks,1550-4859,1550-4867,2024-03-08,NA,acm2020tue
ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392,2024-03-08,NA,acm2020tue
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,2024-03-08,NA,acm2020tue
ACM Transactions on Storage,1553-3077,1553-3093,2024-03-08,NA,acm2020tue
ACM Transactions on the Web,1559-1131,1559-114X,2024-03-08,NA,acm2020tue
Communications of the ACM,0001-0782,1557-7317,2024-03-08,NA,acm2020tue
Digital Government: Research and Practice,2691-199X,2639-0175,2024-03-08,NA,acm2020tue
Digital Threats: Research and Practice,2692-1626,2576-5337,2024-03-08,NA,acm2020tue
Distributed Ledger Technologies: Research and Practice,2769-6472,2769-6480,2024-03-08,NA,acm2020tue
eLearn Magazine,NA,1535-394X,2024-03-08,NA,acm2020tue
EngageCSEdu,NA,NA,2024-03-08,NA,acm2020tue
Formal Aspects of Computing,0934-5043,1433-299X,2024-03-08,NA,acm2020tue
Games: Research and Practice,NA,2832-5516,2024-03-08,NA,acm2020tue
interactions,1072-5520,1558-3449,2024-03-08,NA,acm2020tue
Journal of Experimental Algorithmics,NA,1084-6654,2024-03-08,NA,acm2020tue
Journal of the ACM,0004-5411,1557-735X,2024-03-08,NA,acm2020tue
Journal on Computing and Cultural Heritage,1556-4673,1556-4711,2024-03-08,NA,acm2020tue
Journal on Emerging Technologies in Computing Systems,NA,1550-4840,2024-03-08,NA,acm2020tue
PACM on Human-Computer Interaction,NA,2573-0142,2024-03-08,NA,acm2020tue
PACM on Measurement and Analysis of Computing Systems,NA,2476-1249,2024-03-08,NA,acm2020tue
PACM on Programming Languages,NA,2475-1421,2024-03-08,NA,acm2020tue
Proceedings of the ACM on Computer Graphics and Interactive Techniques,NA,2577-6193,2024-03-08,NA,acm2020tue
"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",NA,2474-9567,2024-03-08,NA,acm2020tue
Queue,1542-7730,1542-7749,2024-03-08,NA,acm2020tue
Transactions on Computing for Healthcare,NA,2637-8051,2024-03-08,NA,acm2020tue
Transactions on Cyber-Physical Systems,2378-962X,2378-9638,2024-03-08,NA,acm2020tue
Transactions on Data Science,2691-1922,2691-1922,2024-03-08,NA,acm2020tue
Transactions on Evolutionary Learning and Optimization,2688-299X,2688-3007,2024-03-08,NA,acm2020tue
Transactions on Human-Robot Interaction,2691-1914,2573-9522,2024-03-08,NA,acm2020tue
Transactions on Internet of Things,2691-1914,2577-6207,2024-03-08,NA,acm2020tue
Transactions on Privacy and Security,2471-2566,2471-2574,2024-03-08,NA,acm2020tue
Transactions on Social Computing,2469-7818,2469-7826,2024-03-08,NA,acm2020tue
Ubiquity,NA,1530-2180,2024-03-08,NA,acm2020tue
XRDS,1528-4972,1528-4980,2024-03-08,NA,acm2020tue
ACM Inroads,2153-2184,2153-2192,2024-02-28,NA,acm2021cas
Communications of the ACM,0001-0782,1557-7317,2024-02-28,NA,acm2021cas
ACM Computing Surveys,0360-0300,1557-7341,2024-02-28,NA,acm2021cas
Digital Government: Research and Practice,2691-199X,2639-0175,2024-02-28,NA,acm2021cas
Distributed Ledger Technologies: Research and Practice,2769-6472,2769-6480,2024-02-28,NA,acm2021cas
Digital Threats: Research and Practice,2692-1626,2576-5337,2024-02-28,NA,acm2021cas
EngageCSEdu,NA,NA,2024-02-28,NA,acm2021cas
Formal Aspects of Computing,0934-5043,1433-299X,2024-02-28,NA,acm2021cas
Games: Research and Practice,NA,2832-5516,2024-02-28,NA,acm2021cas
Transactions on Computing for Healthcare,NA,2637-8051,2024-02-28,NA,acm2021cas
Journal of the ACM,0004-5411,1557-735X,2024-02-28,NA,acm2021cas
ACM Journal on Data and Information Quality,1936-1955,1936-1963,2024-02-28,NA,acm2021cas
ACM Journal of Data Science,NA,2691-1922,2024-02-28,NA,acm2021cas
Journal of Experimental Algorithmics,NA,1084-6654,2024-02-28,NA,acm2021cas
Journal on Emerging Technologies in Computing Systems,NA,1550-4840,2024-02-28,NA,acm2021cas
Journal on Computing and Cultural Heritage,1556-4673,1556-4711,2024-02-28,NA,acm2021cas
Proceedings of the ACM on Computer Graphics and Interactive Techniques,NA,2577-6193,2024-02-28,NA,acm2021cas
PACM on Human-Computer Interaction,NA,2573-0142,2024-02-28,NA,acm2021cas
"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",NA,2474-9567,2024-02-28,NA,acm2021cas
PACM on Measurement and Analysis of Computing Systems,NA,2476-1249,2024-02-28,NA,acm2021cas
PACM on Programming Languages,NA,2475-1421,2024-02-28,NA,acm2021cas
Queue,1542-7730,1542-7749,2024-02-28,NA,acm2021cas
ACM Transactions on Autonomous and Adaptive Systems,NA,1556-4703,2024-02-28,NA,acm2021cas
ACM Transactions on Accessible Computing,1936-7228,1936-7236,2024-02-28,NA,acm2021cas
ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,2024-02-28,NA,acm2021cas
ACM Transactions on Algorithms,1549-6325,1549-6333,2024-02-28,NA,acm2021cas
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,2024-02-28,NA,acm2021cas
ACM Transactions on Applied Perception,1544-3558,1544-3965,2024-02-28,NA,acm2021cas
Transactions on Cyber-Physical Systems,2378-962X,2378-9638,2024-02-28,NA,acm2021cas
Transactions on Data Science,2691-1922,2691-1922,2024-02-28,NA,acm2021cas
ACM Transactions on Economics and Computation,2167-8375,2167-8383,2024-02-28,NA,acm2021cas
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,2024-02-28,NA,acm2021cas
Transactions on Evolutionary Learning and Optimization,2688-299X,2688-3007,2024-02-28,NA,acm2021cas
Transactions on Human-Robot Interaction,2691-1914,2573-9522,2024-02-28,NA,acm2021cas
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,2024-02-28,NA,acm2021cas
Transactions on Internet of Things,2691-1914,2577-6207,2024-02-28,NA,acm2021cas
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,2024-02-28,NA,acm2021cas
ACM Transactions on Knowledge Discovery in Data,1556-4681,1556-472X,2024-02-28,NA,acm2021cas
ACM Transactions on Management Information Systems,2158-656X,2158-6578,2024-02-28,NA,acm2021cas
ACM Transactions on Computing Education,NA,1946-6226,2024-02-28,NA,acm2021cas
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,2024-02-28,NA,acm2021cas
ACM Transactions on Computational Logic,1529-3785,1557-945X,2024-02-28,NA,acm2021cas
ACM Transactions on Computer Systems,0734-2071,1557-7333,2024-02-28,NA,acm2021cas
ACM Transactions on Computation Theory,1942-3454,1942-3462,2024-02-28,NA,acm2021cas
ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309,2024-02-28,NA,acm2021cas
ACM Transactions on Database Systems,0362-5915,1557-4644,2024-02-28,NA,acm2021cas
ACM Transactions on Graphics,0730-0301,1557-7368,2024-02-28,NA,acm2021cas
ACM Transactions on Information Systems,1046-8188,1558-2868,2024-02-28,NA,acm2021cas
ACM Transactions on Internet Technology,1533-5399,1557-6051,2024-02-28,NA,acm2021cas
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,2024-02-28,NA,acm2021cas
"ACM Transactions on Multimedia Computing, Communications and Applications",1551-6857,1551-6865,2024-02-28,NA,acm2021cas
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,2024-02-28,NA,acm2021cas
ACM Transactions on Mathematical Software,0098-3500,1557-7295,2024-02-28,NA,acm2021cas
ACM Transactions on Parallel Computing,2329-4949,2329-4957,2024-02-28,NA,acm2021cas
ACM Transactions on Programming Languages & Systems,0164-0925,1558-4593,2024-02-28,NA,acm2021cas
Transactions on Privacy and Security,2471-2566,2471-2574,2024-02-28,NA,acm2021cas
ACM Transactions on Storage,1553-3077,1553-3093,2024-02-28,NA,acm2021cas
ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392,2024-02-28,NA,acm2021cas
ACM Transactions on Sensor Networks,1550-4859,1550-4867,2024-02-28,NA,acm2021cas
ACM Transactions on Quantum Computing,2643-6809,2643-6817,2024-02-28,NA,acm2021cas
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,2024-02-28,NA,acm2021cas
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,2024-02-28,NA,acm2021cas
Transactions on Social Computing,2469-7818,2469-7826,2024-02-28,NA,acm2021cas
ACM Transactions on the Web,1559-1131,1559-114X,2024-02-28,NA,acm2021cas
Ubiquity,NA,1530-2180,2024-02-28,NA,acm2021cas
XRDS,1528-4972,1528-4980,2024-02-28,NA,acm2021cas
eLearn Magazine,NA,1535-394X,2024-02-28,NA,acm2021cas
interactions,1072-5520,1558-3449,2024-02-28,NA,acm2021cas
ACM Computing Surveys,0360-0300,1557-7341,2024-01-15,NA,acm2021hebis
Digital Government: Research and Practice,2691-199X,2639-0175,2024-01-15,NA,acm2021hebis
Distributed Ledger Technologies: Research and Practice,2769-6472,2769-6480,2024-01-15,NA,acm2021hebis
Digital Threats: Research and Practice,2692-1626,2576-5337,2024-01-15,NA,acm2021hebis
EngageCSEdu,NA,NA,2024-01-15,NA,acm2021hebis
Formal Aspects of Computing,0934-5043,1433-299X,2024-01-15,NA,acm2021hebis
Games: Research and Practice,NA,2832-5516,2024-01-15,NA,acm2021hebis
Transactions on Computing for Healthcare,NA,2637-8051,2024-01-15,NA,acm2021hebis
Journal of the ACM,0004-5411,1557-735X,2024-01-15,NA,acm2021hebis
ACM Journal on Data and Information Quality,1936-1955,1936-1963,2024-01-15,NA,acm2021hebis
ACM Journal of Data Science,NA,2691-1922,2024-01-15,NA,acm2021hebis
Journal of Experimental Algorithmics,NA,1084-6654,2024-01-15,NA,acm2021hebis
Journal on Emerging Technologies in Computing Systems,NA,1550-4840,2024-01-15,NA,acm2021hebis
Journal on Computing and Cultural Heritage,1556-4673,1556-4711,2024-01-15,NA,acm2021hebis
Proceedings of the ACM on Computer Graphics and Interactive Techniques,NA,2577-6193,2024-01-15,NA,acm2021hebis
PACM on Human-Computer Interaction,NA,2573-0142,2024-01-15,NA,acm2021hebis
"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",NA,2474-9567,2024-01-15,NA,acm2021hebis
PACM on Measurement and Analysis of Computing Systems,NA,2476-1249,2024-01-15,NA,acm2021hebis
PACM on Programming Languages,NA,2475-1421,2024-01-15,NA,acm2021hebis
Queue,1542-7730,1542-7749,2024-01-15,NA,acm2021hebis
ACM Transactions on Autonomous and Adaptive Systems,NA,1556-4703,2024-01-15,NA,acm2021hebis
ACM Transactions on Accessible Computing,1936-7228,1936-7236,2024-01-15,NA,acm2021hebis
ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,2024-01-15,NA,acm2021hebis
ACM Transactions on Algorithms,1549-6325,1549-6333,2024-01-15,NA,acm2021hebis
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,2024-01-15,NA,acm2021hebis
ACM Transactions on Applied Perception,1544-3558,1544-3965,2024-01-15,NA,acm2021hebis
Transactions on Cyber-Physical Systems,2378-962X,2378-9638,2024-01-15,NA,acm2021hebis
Transactions on Data Science,2691-1922,2691-1922,2024-01-15,NA,acm2021hebis
ACM Transactions on Economics and Computation,2167-8375,2167-8383,2024-01-15,NA,acm2021hebis
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,2024-01-15,NA,acm2021hebis
Transactions on Evolutionary Learning and Optimization,2688-299X,2688-3007,2024-01-15,NA,acm2021hebis
Transactions on Human-Robot Interaction,2691-1914,2573-9522,2024-01-15,NA,acm2021hebis
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,2024-01-15,NA,acm2021hebis
Transactions on Internet of Things,2691-1914,2577-6207,2024-01-15,NA,acm2021hebis
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,2024-01-15,NA,acm2021hebis
ACM Transactions on Knowledge Discovery in Data,1556-4681,1556-472X,2024-01-15,NA,acm2021hebis
ACM Transactions on Management Information Systems,2158-656X,2158-6578,2024-01-15,NA,acm2021hebis
ACM Transactions on Computing Education,NA,1946-6226,2024-01-15,NA,acm2021hebis
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,2024-01-15,NA,acm2021hebis
ACM Transactions on Computational Logic,1529-3785,1557-945X,2024-01-15,NA,acm2021hebis
ACM Transactions on Computer Systems,0734-2071,1557-7333,2024-01-15,NA,acm2021hebis
ACM Transactions on Computation Theory,1942-3454,1942-3462,2024-01-15,NA,acm2021hebis
ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309,2024-01-15,NA,acm2021hebis
ACM Transactions on Database Systems,0362-5915,1557-4644,2024-01-15,NA,acm2021hebis
ACM Transactions on Graphics,0730-0301,1557-7368,2024-01-15,NA,acm2021hebis
ACM Transactions on Information Systems,1046-8188,1558-2868,2024-01-15,NA,acm2021hebis
ACM Transactions on Internet Technology,1533-5399,1557-6051,2024-01-15,NA,acm2021hebis
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,2024-01-15,NA,acm2021hebis
"ACM Transactions on Multimedia Computing, Communications and Applications",1551-6857,1551-6865,2024-01-15,NA,acm2021hebis
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,2024-01-15,NA,acm2021hebis
ACM Transactions on Mathematical Software,0098-3500,1557-7295,2024-01-15,NA,acm2021hebis
ACM Transactions on Parallel Computing,2329-4949,2329-4957,2024-01-15,NA,acm2021hebis
ACM Transactions on Programming Languages & Systems,0164-0925,1558-4593,2024-01-15,NA,acm2021hebis
Transactions on Privacy and Security,2471-2566,2471-2574,2024-01-15,NA,acm2021hebis
ACM Transactions on Storage,1553-3077,1553-3093,2024-01-15,NA,acm2021hebis
ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392,2024-01-15,NA,acm2021hebis
ACM Transactions on Sensor Networks,1550-4859,1550-4867,2024-01-15,NA,acm2021hebis
ACM Transactions on Quantum Computing,2643-6809,2643-6817,2024-01-15,NA,acm2021hebis
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,2024-01-15,NA,acm2021hebis
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,2024-01-15,NA,acm2021hebis
Transactions on Social Computing,2469-7818,2469-7826,2024-01-15,NA,acm2021hebis
ACM Transactions on the Web,1559-1131,1559-114X,2024-01-15,NA,acm2021hebis
Ubiquity,NA,1530-2180,2024-01-15,NA,acm2021hebis
XRDS,1528-4972,1528-4980,2024-01-15,NA,acm2021hebis
eLearn Magazine,NA,1535-394X,2024-01-15,NA,acm2021hebis
interactions,1072-5520,1558-3449,2024-01-15,NA,acm2021hebis
ACM Computing Surveys,0360-0300,1557-7341,2023-12-08,NA,acm2021hva
ACM Inroads,2153-2184,2153-2192,2023-12-08,NA,acm2021hva
ACM Journal of Data Science,NA,NA,2023-12-08,NA,acm2021hva
ACM Journal on Data and Information Quality,1936-1955,1936-1963,2023-12-08,NA,acm2021hva
ACM Transactions on Accessible Computing,1936-7228,1936-7236,2023-12-08,NA,acm2021hva
ACM Transactions on Algorithms,1549-6325,1549-6333,2023-12-08,NA,acm2021hva
ACM Transactions on Applied Perception,1544-3558,1544-3965,2023-12-08,NA,acm2021hva
ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,2023-12-08,NA,acm2021hva
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,2023-12-08,NA,acm2021hva
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,2023-12-08,NA,acm2021hva
ACM Transactions on Computation Theory,1942-3454,1942-3462,2023-12-08,NA,acm2021hva
ACM Transactions on Computational Logic,1529-3785,1557-945X,2023-12-08,NA,acm2021hva
ACM Transactions on Computer Systems,0734-2071,1557-7333,2023-12-08,NA,acm2021hva
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,2023-12-08,NA,acm2021hva
ACM Transactions on Computing Education,NA,1946-6226,2023-12-08,NA,acm2021hva
ACM Transactions on Database Systems,0362-5915,1557-4644,2023-12-08,NA,acm2021hva
ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309,2023-12-08,NA,acm2021hva
ACM Transactions on Economics and Computation,2167-8375,2167-8383,2023-12-08,NA,acm2021hva
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,2023-12-08,NA,acm2021hva
ACM Transactions on Graphics,0730-0301,1557-7368,2023-12-08,NA,acm2021hva
ACM Transactions on Information Systems,1046-8188,1558-2868,2023-12-08,NA,acm2021hva
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,2023-12-08,NA,acm2021hva
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,2023-12-08,NA,acm2021hva
ACM Transactions on Internet Technology,1533-5399,1557-6051,2023-12-08,NA,acm2021hva
ACM Transactions on Knowledge Discovery from Data,1556-4681,1556-472X,2023-12-08,NA,acm2021hva
ACM Transactions on Management Information Systems,2158-656X,2158-6578,2023-12-08,NA,acm2021hva
ACM Transactions on Mathematical Software,0098-3500,1557-7295,2023-12-08,NA,acm2021hva
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,2023-12-08,NA,acm2021hva
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,2023-12-08,NA,acm2021hva
"ACM Transactions on Multimedia Computing, Communications, and Applications",1551-6857,1551-6865,2023-12-08,NA,acm2021hva
ACM Transactions on Parallel Computing,2329-4949,2329-4957,2023-12-08,NA,acm2021hva
ACM Transactions on Programming Languages and Systems,0164-0925,1558-4593,2023-12-08,NA,acm2021hva
ACM Transactions on Quantum Computing,2643-6809,2643-6817,2023-12-08,NA,acm2021hva
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,2023-12-08,NA,acm2021hva
ACM Transactions on Sensor Networks,1550-4859,1550-4867,2023-12-08,NA,acm2021hva
ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392,2023-12-08,NA,acm2021hva
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,2023-12-08,NA,acm2021hva
ACM Transactions on Storage,1553-3077,1553-3093,2023-12-08,NA,acm2021hva
ACM Transactions on the Web,1559-1131,1559-114X,2023-12-08,NA,acm2021hva
Communications of the ACM,0001-0782,1557-7317,2023-12-08,NA,acm2021hva
Digital Government: Research and Practice,2691-199X,2639-0175,2023-12-08,NA,acm2021hva
